ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
5,overlap-15,Yes,No
5,overlap-45,Yes,No
5,overlap-75,Yes,No
5,overlap-0,Yes,No
5,overlap-60,Yes,No
5,overlap-30,Yes,No
5,overlap-0,No,Yes
5,overlap-15,No,No
5,overlap-60,No,Yes
5,overlap-30,No,No
5,overlap-45,No,Yes
5,overlap-75,No,No
