ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
11,overlap-75,Yes,No
11,overlap-0,Yes,No
11,overlap-45,Yes,No
11,overlap-30,Yes,No
11,overlap-60,Yes,No
11,overlap-15,Yes,Yes
11,overlap-30,No,No
11,overlap-0,No,No
11,overlap-45,No,Yes
11,overlap-75,No,Yes
11,overlap-60,No,No
11,overlap-15,No,No
