ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
16,overlap-30,No,Yes
16,overlap-45,No,Yes
16,overlap-15,No,No
16,overlap-0,No,No
16,overlap-75,No,Yes
16,overlap-60,No,Yes
16,overlap-60,Yes,Yes
16,overlap-75,Yes,Yes
16,overlap-15,Yes,No
16,overlap-30,Yes,No
16,overlap-0,Yes,No
16,overlap-45,Yes,Yes
