ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
20,overlap-30,Yes,No
20,overlap-15,Yes,Yes
20,overlap-45,Yes,Yes
20,overlap-75,Yes,No
20,overlap-60,Yes,No
20,overlap-0,Yes,Yes

20,overlap-75,No,No
20,overlap-0,No,Yes
20,overlap-60,No,Yes
20,overlap-30,No,No
20,overlap-15,No,Yes
20,overlap-45,No,Yes
