ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
22,overlap-45,Yes,Yes
22,overlap-60,Yes,Yes
22,overlap-30,Yes,No
22,overlap-0,Yes,No
22,overlap-75,Yes,Yes
22,overlap-15,Yes,Yes

22,overlap-60,No,Yes
22,overlap-45,No,Yes
22,overlap-0,No,No
22,overlap-30,No,Yes
22,overlap-15,No,No
22,overlap-75,No,Yes
