ID,Overlap level,Distractor (yes/no),Impossible (yes/no)
12,overlap-45,No,Yes
12,overlap-30,No,Yes
12,overlap-0,No,No
12,overlap-75,No,Yes
12,overlap-60,No,Yes
12,overlap-15,No,Yes
12,overlap-45,Yes,Yes
12,overlap-15,Yes,Yes
12,overlap-75,Yes,Yes
12,overlap-30,Yes,Yes
12,overlap-0,Yes,No
12,overlap-60,Yes,Yes
